batch,case,method,stage,generated,admitted,ratio,tasks,small_merge_caps,rule,reason
综合粒度回归_v1,case_064,portfolio_diverse,task_route,,,,46,[],,
综合粒度回归_v1,case_064,portfolio,tensor_gate,3,0,0.85,,,,
综合粒度回归_v1,case_064,portfolio,task_route,,,,46,[],,
综合粒度回归_v1,case_064,portfolio,tensor_gate,3,0,0.85,,,,
综合粒度回归_v1,case_064,portfolio,task_route,,,,46,[],,
综合粒度回归_v1,case_064,portfolio,tensor_gate,3,0,0.85,,,,
综合粒度回归_v1,case_064,portfolio,task_route,,,,46,[],,
综合粒度回归_v1,case_037,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_037,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_037,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_037,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_037,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_037,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_037,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_038,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_038,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_038,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio_diverse,task_route,,,,10,[],,
综合粒度回归_v1,case_038,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_038,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_038,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_038,portfolio,task_route,,,,10,[],,
综合粒度回归_v1,case_036,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_036,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_036,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio_diverse,task_route,,,,5,[],,
综合粒度回归_v1,case_036,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_036,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_036,portfolio,tensor_gate,4,0,0.85,,,,
综合粒度回归_v1,case_036,portfolio,task_route,,,,5,[],,
综合粒度回归_v1,case_009,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio_diverse,task_route,,,,85,[],,
综合粒度回归_v1,case_009,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio_diverse,task_route,,,,85,[],,
综合粒度回归_v1,case_009,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio_diverse,task_route,,,,85,[],,
综合粒度回归_v1,case_009,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio,task_route,,,,85,[],,
综合粒度回归_v1,case_009,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio,task_route,,,,85,[],,
综合粒度回归_v1,case_009,portfolio,tensor_gate,8,0,0.85,,,,
综合粒度回归_v1,case_009,portfolio,task_route,,,,85,[],,
综合大图_v1,case_047,portfolio,tensor_gate,5,3,0.85,,,,
综合大图_v1,case_047,portfolio,task_route,,,,1,,,
综合大图_v1,case_063,portfolio,tensor_gate,4,0,0.85,,,,
综合大图_v1,case_063,portfolio,task_route,,,,1647,"[8, 16]",,
综合大图_v1,case_053,portfolio,tensor_gate,8,2,0.85,,,,
综合大图_v1,case_053,portfolio,task_route,,,,984,"[8, 16]",,
综合粒度大图_v1,case_014,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合粒度大图_v1,case_014,portfolio_diverse,tensor_gate,8,0,0.85,,,,
综合粒度大图_v1,case_014,portfolio_diverse,task_route,,,,1340,[],,
综合粒度大图_v1,case_047,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合粒度大图_v1,case_047,portfolio_diverse,tensor_gate,5,3,0.85,,,,
综合粒度大图_v1,case_047,portfolio_diverse,task_route,,,,1,,,
综合粒度大图_v1,case_063,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合粒度大图_v1,case_063,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合粒度大图_v1,case_063,portfolio_diverse,task_route,,,,1647,"[8, 16]",,
综合粒度大图_v1,case_053,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合粒度大图_v1,case_053,portfolio_diverse,tensor_gate,8,2,0.85,,,,
综合粒度大图_v1,case_053,portfolio_diverse,task_route,,,,984,"[8, 16]",,
综合开发诊断_v1,case_016,portfolio,tensor_gate,4,4,0.85,,,,
综合开发诊断_v1,case_016,portfolio,task_route,,,,3965,"[8, 16]",,
综合核数推广_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_002,portfolio_diverse,task_route,,,,18,[],,
综合核数推广_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_002,portfolio_diverse,task_route,,,,221,"[8, 16]",,
综合核数推广_v1,case_002,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_002,portfolio_diverse,task_route,,,,6,[],,
综合核数推广_v1,case_063,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合核数推广_v1,case_063,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_063,portfolio_diverse,task_route,,,,32,[],,
综合核数推广_v1,case_063,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合核数推广_v1,case_063,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_063,portfolio_diverse,task_route,,,,854,"[8, 16]",,
综合核数推广_v1,case_063,portfolio_diverse,component_order,,,,,,smallest_max_task_first,large_graph_feasibility_first
综合核数推广_v1,case_063,portfolio_diverse,tensor_gate,4,0,0.85,,,,
综合核数推广_v1,case_063,portfolio_diverse,task_route,,,,829,"[8, 16]",,
