case,compute_ops,all_ops,tensors,edges,compute_dependency_edges,copy_contracted_extra_edges,dependency_components,direct_dependency_components,touch_components,largest_component_ops,largest_component_fraction,largest_touch_component_fraction,singleton_components,largest_component_work_M_fraction,largest_component_work_V_fraction,dependency_layers,max_layer_width,root_compute_ops,sink_compute_ops,work_M,work_V,count_M,count_V,noncopy_other_pipe_ops,compute_critical_path,original_copy_in_bytes,original_copy_out_bytes,root_ddr_input_unique_bytes,root_ddr_input_count,max_root_ddr_input_bytes,max_all_tensor_bytes,shared_ddr_inputs_across_components,shared_ddr_inputs_across_touch_components,max_input_component_fanout,five_core_baseline_lb_M,five_core_baseline_lb_V,five_core_baseline_lb_DDR,five_core_baseline_lb_CP,five_core_whole_component_lb,whole_component_lb_over_baseline_lb,five_core_baseline_lb_dominant
case_091,31554,33497,34927,96492,31173,0,513,513,3,147,0.004658680357482411,0.9750586296507574,0,0.006342914658804457,0.006309903296089985,124,14803,14803,513,8981360,931710,15060,16494,0,56912,6535680,41976,6535680,1430,73728,73728,1417,0,30,1796272.0,186342.0,109627.6,56912,1796272.0,1.0,PIPE_M
case_092,17608,17942,18134,46392,20874,0,142,142,1,124,0.007042253521126761,1.0,0,0.007042253521126761,0.007042253521126761,124,142,142,142,3714152,326600,7100,10508,0,28456,2093664,1163264,2093664,192,73728,73728,50,0,142,742830.4,65320.0,54282.13333333333,28456,742830.4,1.0,PIPE_M
case_093,552,901,1181,2285,483,0,69,69,1,8,0.014492753623188406,1.0,0,0.014492753623188406,0.014492753623188406,4,276,276,69,73968,12144,276,276,0,400,573440,141312,573440,280,2048,2048,4,0,69,14793.6,2428.8,11912.533333333333,400,14793.6,1.0,PIPE_M
case_094,647,791,895,1925,680,0,40,40,13,44,0.06800618238021638,0.241112828438949,0,0.08643437077131258,0.08236836355691501,36,108,108,40,70944,36616,116,531,0,2484,471328,55364,471328,104,18432,18432,14,0,11,14188.8,7323.2,8778.2,2484,14188.8,1.0,PIPE_M
case_095,3696,6006,7854,14322,4158,0,462,462,462,8,0.0021645021645021645,0.0021645021645021645,0,0.0021645021645021645,0.0021645021645021645,8,462,462,462,1069992,1014552,924,2772,0,4512,8516508,2838528,8516508,1848,6144,18432,0,0,1,213998.4,202910.4,189250.6,4512,213998.4,1.0,PIPE_M
case_096,1198,1362,1476,3200,1276,0,50,50,23,397,0.3313856427378965,0.3313856427378965,0,0.26155838979673174,0.5026726896292114,119,93,93,50,40144,53130,170,1028,0,9417,210260,9298,210260,114,18432,18432,8,0,11,8028.8,10626.0,3659.3,9417,26707,2.5133634481460567,PIPE_V
case_097,6592,7488,8320,21568,6528,0,64,64,1,103,0.015625,1.0,0,0.015625,0.015625,52,3328,3328,64,10303488,1331712,3328,3264,0,23904,4259840,786432,4259840,832,6144,12288,832,0,8,2060697.6,266342.4,84104.53333333334,23904,2060697.6,1.0,PIPE_M
case_098,1365,1553,1700,3615,1514,0,27,27,27,389,0.28498168498168497,0.28498168498168497,0,0.11979648473635522,0.5482879638109169,51,98,98,41,17296,162701,28,1337,0,6783,697912,82,697912,147,16384,16384,0,0,1,3459.2,32540.2,11633.233333333334,6783,89207,2.741439819054585,PIPE_V
case_099,6296,7054,7610,19599,6106,0,202,202,3,117,0.01858322744599746,0.9309085133418044,0,0.0098528095549689,0.010869264787175235,29,2810,2810,202,1595484,144720,2859,3437,0,2826,2533632,404,2533632,556,24576,24576,444,0,20,319096.8,28944.0,42233.933333333334,2826,319096.8,1.0,PIPE_M
case_100,1394,1654,1825,4014,1505,0,43,43,19,275,0.19727403156384504,0.19727403156384504,0,0.08344523307116823,0.5600105875087004,52,187,187,89,62556,102007,109,1285,0,4830,436006,18592,436006,171,18432,18432,7,0,10,12511.2,20401.4,7576.633333333333,4830,57125,2.800052937543502,PIPE_V
